country,year,value
France,1990,49.1395590533717
France,1995,49.9657276215659
France,2000,50.7417119227205
France,2005,51.0083857753503
France,2010,51.3743665172546
France,2015,51.6576592677288
France,2020,51.5449022367011
Germany,1990,44.5244678354653
Germany,1995,47.7735133914206
Germany,2000,49.9182608515795
Germany,2005,50.2663721475909
Germany,2010,50.5854154133455
Germany,2015,50.7068986806606
Germany,2020,49.933979201339
Saudi Arabia,1990,33.4818528562383
Saudi Arabia,1995,33.3069735463824
Saudi Arabia,2000,33.1653173137373
Saudi Arabia,2005,31.2530078121215
Saudi Arabia,2010,29.6167026257314
Saudi Arabia,2015,30.72835887296
Saudi Arabia,2020,31.3620330881626
Turkiye,1990,50.3879053284133
Turkiye,1995,51.1633624492568
Turkiye,2000,51.9106328598094
Turkiye,2005,53.0480897328617
Turkiye,2010,54.1497027477363
Turkiye,2015,45.0055761393236
Turkiye,2020,48.3835350190297
United Arab Emirates,1990,28.6715486455417
United Arab Emirates,1995,28.1917068961547
United Arab Emirates,2000,28.1899134045223
United Arab Emirates,2005,27.2107500041906
United Arab Emirates,2010,25.3290658339412
United Arab Emirates,2015,26.3279903281074
United Arab Emirates,2020,26.347550781682
United States,1990,51.0860940072064
United States,1995,50.6796497127892
United States,2000,50.2764444001967
United States,2005,50.0363451869902
United States,2010,50.8999993504383
United States,2015,51.3337079234952
United States,2020,51.6539109126734
