country,year,value
France,1990,10.3
France,1995,10.2
France,2000,10.3
France,2005,11.1
France,2010,11.5
France,2015,12.3
France,2020,13.1
France,2024,13.8
Germany,1990,8.7
Germany,1995,11.7
Germany,2000,12.7
Germany,2005,13.7
Germany,2010,14.4
Germany,2015,15.4
Germany,2020,18.0
Germany,2024,19.8
Saudi Arabia,1990,42.1
Saudi Arabia,1995,36.5
Saudi Arabia,2000,32.3
Saudi Arabia,2005,32.1
Saudi Arabia,2010,35.7
Saudi Arabia,2015,44.2
Saudi Arabia,2020,42.2
Saudi Arabia,2024,40.3
Turkiye,1990,2.1
Turkiye,1995,2.0
Turkiye,2000,2.0
Turkiye,2005,1.9
Turkiye,2010,1.9
Turkiye,2015,4.7
Turkiye,2020,7.6
Turkiye,2024,8.1
United Arab Emirates,1990,68.6
United Arab Emirates,1995,73.7
United Arab Emirates,2000,67.9
United Arab Emirates,2005,69.0
United Arab Emirates,2010,78.5
United Arab Emirates,2015,79.1
United Arab Emirates,2020,76.0
United Arab Emirates,2024,74.0
United States,1990,9.2
United States,1995,10.6
United States,2000,12.4
United States,2005,13.4
United States,2010,14.1
United States,2015,14.7
United States,2020,14.9
United States,2024,15.2
