country,year,value
France,1960,143032
France,1961,128618
France,1962,141634
France,1963,190925
France,1964,163039
France,1965,82879
France,1966,96097
France,1967,63018
France,1968,113115
France,1969,160403
France,1970,182941
France,1971,144321
France,1972,101223
France,1973,103910
France,1974,26203
France,1975,16139
France,1976,59515
France,1977,44918
France,1978,18692
France,1979,34295
France,1980,54718
France,1981,69365
France,1982,81084
France,1983,88166
France,1984,76175
France,1985,66149
France,1986,51642
France,1987,59890
France,1988,69935
France,1989,82052
France,1990,43323
France,1991,35201
France,1992,61964
France,1993,16892
France,1994,-4232
France,1995,-17128
France,1996,-21463
France,1997,-15255
France,1998,20216
France,1999,169448
France,2000,171637
France,2001,179476
France,2002,191373
France,2003,195616
France,2004,200629
France,2005,191417
France,2006,132512
France,2007,91973
France,2008,79528
France,2009,58032
France,2010,52644
France,2011,70178
France,2012,103287
France,2013,116297
France,2014,52342
France,2015,-345
France,2016,15548
France,2017,102984
France,2018,132925
France,2019,71972
France,2020,145593
France,2021,131465
France,2022,179377
France,2023,91862
France,2024,90527
France,2025,91737
Germany,1960,212666
Germany,1961,27534
Germany,1962,276505
Germany,1963,205976
Germany,1964,69825
Germany,1965,338258
Germany,1966,134107
Germany,1967,-174155
Germany,1968,293307
Germany,1969,584017
Germany,1970,-273498
Germany,1971,450328
Germany,1972,336015
Germany,1973,386881
Germany,1974,-15126
Germany,1975,-207740
Germany,1976,-79761
Germany,1977,33881
Germany,1978,117167
Germany,1979,237705
Germany,1980,324203
Germany,1981,130713
Germany,1982,-58121
Germany,1983,-81349
Germany,1984,-150771
Germany,1985,103556
Germany,1986,212822
Germany,1987,174272
Germany,1988,515962
Germany,1989,761002
Germany,1990,679702
Germany,1991,602638
Germany,1992,811606
Germany,1993,462096
Germany,1994,315585
Germany,1995,398077
Germany,1996,281280
Germany,1997,93281
Germany,1998,-754469
Germany,1999,219280
Germany,2000,174594
Germany,2001,272875
Germany,2002,218795
Germany,2003,142009
Germany,2004,81735
Germany,2005,81351
Germany,2006,-489056
Germany,2007,-24772
Germany,2008,-23341
Germany,2009,46533
Germany,2010,130116
Germany,2011,295282
Germany,2012,199143
Germany,2013,462384
Germany,2014,592338
Germany,2015,1175283
Germany,2016,517480
Germany,2017,452988
Germany,2018,403908
