country,year,value
France,1960,245935
France,1961,253375
France,1962,259740
France,1963,174057
France,1964,175861
France,1965,177665
France,1966,179468
France,1967,177200
France,1968,176736
France,1969,175242
France,1970,158543
France,1971,141844
France,1972,98900
France,1973,101830
France,1974,105538
France,1975,109882
France,1976,114634
France,1977,119413
France,1978,126229
France,1979,119489
France,1980,121958
France,1981,125597
France,1982,152223
France,1983,164113
France,1984,169863
France,1985,174213
France,1986,180258
France,1987,179306
France,1988,183946
France,1989,180258
France,1990,193000
France,1991,174756
France,1992,156512
France,1993,166269
France,1994,195288
France,1995,155240
France,1996,151331
France,1997,146558
France,1998,140213
France,1999,129722
France,2000,132508
France,2001,131601
France,2002,132182
France,2003,130838
France,2004,139852
France,2005,137316
France,2006,145996
France,2007,151789
France,2008,171206
France,2009,196364
France,2010,200687
France,2011,210207
France,2012,217865
France,2013,232487
France,2014,252248
France,2015,273117
France,2016,304527
France,2017,337158
France,2018,368345
France,2019,407915
France,2020,436055
France,2021,499914
France,2022,612934
France,2023,664366
France,2024,721771
Germany,1960,197000
Germany,1961,190000
Germany,1962,185000
Germany,1963,182000
Germany,1964,180000
Germany,1965,180000
Germany,1966,140000
Germany,1967,112000
Germany,1968,110000
Germany,1969,113000
Germany,1970,115000
Germany,1971,125000
Germany,1972,125000
Germany,1973,125000
Germany,1974,123000
Germany,1975,122000
Germany,1976,122000
Germany,1977,120000
Germany,1978,83500
Germany,1979,87000
Germany,1980,94000
Germany,1981,100000
Germany,1982,100000
Germany,1983,115000
Germany,1984,126600
Germany,1985,475000
Germany,1986,547900
Germany,1987,596200
Germany,1988,610200
Germany,1989,628500
Germany,1990,816000
Germany,1991,821500
Germany,1992,1236000
Germany,1993,1418000
Germany,1994,1354600
Germany,1995,1267900
Germany,1996,1266000
Germany,1997,1049000
Germany,1998,949200
Germany,1999,975500
Germany,2000,906000
Germany,2001,903000
Germany,2002,980001
Germany,2003,960393
Germany,2004,876614
Germany,2005,699996
Germany,2006,605329
Germany,2007,578866
Germany,2008,582719
Germany,2009,593787
Germany,2010,594250
Germany,2011,571672
Germany,2012,589735
Germany,2013,187545
Germany,2014,216956
Germany,2015,316098
Germany,2016,669468
Germany,2017,970357
Germany,2018,1063835
Germany,2019,1146682
Germany,2020,1210596
Germany,2021,1255694
Germany,2022,2075445
Germany,2023,2593007
Germany,2024,2749266
Jordan,1971,50
Jordan,1972,50
Jordan,1973,0
Jordan,1974,0
Jordan,1975,0
Jordan,1976,0
Jordan,1977,0
Jordan,1978,80
Jordan,1979,120
Jordan,1980,60
Jordan,1981,80
Jordan,1982,100
Jordan,1983,150
Jordan,1984,400
Jordan,1985,400
Jordan,1986,0
Jordan,1987,0
Jordan,1988,0
Jordan,1989,130
Jordan,1990,640
Jordan,1991,440
Jordan,1992,270
Jordan,1993,465
Jordan,1994,574
Jordan,1995,698
Jordan,1996,870
Jordan,1997,731
Jordan,1998,776
Jordan,1999,1008
Jordan,2000,1064
Jordan,2001,1062
Jordan,2002,1198
Jordan,2003,1195
Jordan,2004,1096
Jordan,2005,962
Jordan,2006,500225
Jordan,2007,500273
Jordan,2008,500406
Jordan,2009,450752
Jordan,2010,450908
Jordan,2011,451000
Jordan,2012,302700
Jordan,2013,641904
Jordan,2014,654131
Jordan,2015,664110
Jordan,2016,685188
Jordan,2017,691015
Jordan,2018,715298
Jordan,2019,693668
Jordan,2020,702461
