country,year,value
France,1990,5890023
France,1995,5936326
France,2000,6141350
France,2005,6839877
France,2010,7322210
France,2015,7978076
France,2020,8610719
France,2024,9186757
Germany,1990,6960112
Germany,1995,9637208
Germany,2000,10397459
Germany,2005,11210590
Germany,2010,11665950
Germany,2015,12646813
Germany,2020,15021300
Germany,2024,16750084
Saudi Arabia,1990,4484868
Saudi Arabia,1995,4853489
Saudi Arabia,2000,5219382
Saudi Arabia,2005,6605114
Saudi Arabia,2010,8976961
Saudi Arabia,2015,13251622
Saudi Arabia,2020,13071258
Saudi Arabia,2024,13683841
Turkiye,1990,1159415
Turkiye,1995,1220898
Turkiye,2000,1279019
Turkiye,2005,1345188
Turkiye,2010,1420433
Turkiye,2015,3750982
Turkiye,2020,6580295
Turkiye,2024,7083501
United Arab Emirates,1990,1302298
United Arab Emirates,1995,1795514
United Arab Emirates,2000,2373577
United Arab Emirates,2005,3218730
United Arab Emirates,2010,5446000
United Arab Emirates,2015,6859000
United Arab Emirates,2020,7184000
United Arab Emirates,2024,8157000
United States,1990,23266147
United States,1995,28525723
United States,2000,34806848
United States,2005,39545828
United States,2010,43947211
United States,2015,47942986
United States,2020,50471028
United States,2024,52375047
