country,year,value
Germany,1960,212666
Germany,1961,27534
Germany,1962,276505
Germany,1963,205976
Germany,1964,69825
Germany,1965,338258
Germany,1966,134107
Germany,1967,-174155
Germany,1968,293307
Germany,1969,584017
Germany,1970,-273498
Germany,1971,450328
Germany,1972,336015
Germany,1973,386881
Germany,1974,-15126
Germany,1975,-207740
Germany,1976,-79761
Germany,1977,33881
Germany,1978,117167
Germany,1979,237705
Germany,1980,324203
Germany,1981,130713
Germany,1982,-58121
Germany,1983,-81349
Germany,1984,-150771
Germany,1985,103556
Germany,1986,212822
Germany,1987,174272
Germany,1988,515962
Germany,1989,761002
Germany,1990,679702
Germany,1991,602638
Germany,1992,811606
Germany,1993,462096
Germany,1994,315585
Germany,1995,398077
Germany,1996,281280
Germany,1997,93281
Germany,1998,-754469
Germany,1999,219280
Germany,2000,174594
Germany,2001,272875
Germany,2002,218795
Germany,2003,142009
Germany,2004,81735
Germany,2005,81351
Germany,2006,-489056
Germany,2007,-24772
Germany,2008,-23341
Germany,2009,46533
Germany,2010,130116
Germany,2011,295282
Germany,2012,199143
Germany,2013,462384
Germany,2014,592338
Germany,2015,1175283
Germany,2016,517480
Germany,2017,452988
Germany,2018,403908
Germany,2019,319082
Germany,2020,203468
Germany,2021,310264
Germany,2022,981552
Germany,2023,609553
Germany,2024,36954
Germany,2025,-334072
